Date,kpi,ppi,unemployment,oil_price_nok,usd_nok,import_val,eksport_val,styringsrente,eur_nok,boligpris_idx,toll_rate_avg
2007-10-01,85,65.01377410468321,2.8,489.547008,5.4016,42853863680,66417209344,5,7.6963,0.282,23.049378373957
2007-11-01,86.4,69.42148760330579,2.6,479.11941,5.4285,38655355084.5,69094979415,5,7.9519,0.14100000000000001,23.049378373957
2007-12-01,87.1,69.55922865013775,2.6,509.46472499999993,5.4285,38632894815.6,75783396633,5.14,8.013,3.415786172430065e-17,23.049378373957
2008-01-01,86.7,71.34986225895317,2.8,500.56198499999994,5.4285,41180144950,74393241720,5.25,7.9566,-0.141,23.029985313316004
2008-02-01,87.2,72.31404958677686,2.6,539.62909,5.3909,44546101052.700005,78244924234,5.25,7.948,-0.235,23.029985313316004
2008-03-01,87.2,72.58953168044077,2.6,540.70727,5.3909,40505352365.1,81484604844,5.25,7.9629,-0.329,23.029985313316004
2008-04-01,87.2,75.48209366391184,2.6,574.0051199999999,5.1545,40255701726.5,80911835940,5.31,7.9629,-0.423,23.029985313316004
2008-05-01,87.2,78.92561983471074,2.7,658.6420099999999,5.1545,41252249948.100006,87417442556,5.5,7.866,-0.8949999999999999,23.029985313316004
2008-06-01,87.4,82.64462809917356,3,720.753735,5.1545,42759767106.700005,85262182741,5.54,7.9915,-1.367,23.029985313316004
2008-07-01,87.9,84.57300275482093,3,629.062122,5.0739,41757902713.799995,82563820014,5.75,8.0487,-1.839,23.029985313316004
2008-08-01,88,83.4710743801653,2.8,585.55551,5.1342,38901319980,82163886150.00002,5.75,7.9723,-2.763,23.029985313316004
2008-09-01,89.3,83.05785123966942,3.2,534.692722,5.4466,42722787264.200005,73446039350,5.75,8.1566,-3.687,23.029985313316004
2008-10-01,89.6,81.95592286501378,3.2,383.173652,5.8661,36098020122.6,69565375968,5.45,8.5928,-4.611,23.029985313316004
2008-11-01,89.1,77.8236914600551,3.1,313.777689,5.8661,38763492660.5,74585834685,4.75,8.8094,-2.52,23.029985313316004
2008-12-01,89,73.69146005509643,3.5,321.514357,7.0523,47406089522.5,68739064296.59999,4.14,9.4039,-0.4290000000000002,23.029985313316004
2009-01-01,88.7,74.10468319559229,3.2,323.559524,7.0523,38672848882.9,66494498222.299995,3,9.2164,1.662,22.938593927585817
2009-02-01,89.4,72.45179063360882,3.3,326.874105,7.0523,36453796988.1,67499464160.700005,2.58,8.7838,2.247333333333333,22.938593927585817
2009-03-01,89.4,72.31404958677686,3.2,347.18472899999995,7.0523,34864086519.6,65720232754.8,2.41,8.8388,2.832666666666667,22.938593927585817
2009-04-01,89.7,71.900826446281,3.5,340.75115999999997,6.7077,36662302720.8,57548121872.4,2,8.787,3.418,22.938593927585817
2009-05-01,89.9,76.5840220385675,3.5,439.488504,6.7077,36020043647.1,58418358508.2,1.58,8.792,3.428,22.89769854132895
2009-06-01,90.4,83.33333333333334,3.5,464.84360999999996,6.7077,34354419529.8,57826866894,1.39,8.945,3.438,22.89769854132895
2009-07-01,89.9,78.51239669421489,3.3,456.77202,6.3706,34298558669.199997,62505696142.2,1.25,8.9494,3.448,22.89769854132895
2009-08-01,89.7,82.50688705234161,3.6,443.71229,6.3706,38136056140,60893006550.6,1.25,8.6602,3.132,22.89769854132895
2009-09-01,90.4,77.54820936639119,3.4,415.55965499999996,6.0165,36585030919.5,60679952235,1.25,8.5964,2.816,22.894015556635743
2009-10-01,90.2,78.65013774104685,3.4,436.82928000000004,5.8089,37270262551.8,61270534530.00001,1.27,8.3596,2.5,22.894015556635743
2009-11-01,90.5,81.40495867768595,3.9,455.824383,5.8089,39496166196.3,62101110623,1.5,8.4143,2.0733333333333333,22.894015556635743
2009-12-01,90.8,81.12947658402204,3.6,438.42638700000003,5.6259,31596708414.6,56837173743,1.61,8.4107,1.6466666666666667,22.894015556635743
2010-01-01,90.9,84.29752066115704,3.8,402.02681399999994,5.6259,34262942117.7,63898216079,1.75,8.1817,1.22,22.82673436750369
2010-02-01,92,86.08815426997246,3.9,457.105967,5.8913,35642582978.1,67459626736,1.75,8.0971,1.3486666666666667,22.82673436750369
2010-03-01,92.5,88.01652892561984,4.4,492.65217,5.9571,39259016559,65186877311.99999,1.75,8.0368,1.4773333333333334,22.82673436750369
2010-04-01,92.7,91.18457300275483,3.8,520.888824,5.9571,39183451499.4,63411312354,1.75,7.9278,1.606,22.82673436750369
2010-05-01,92.2,90.77134986225897,4,444.697515,5.9571,37288228465.5,59277621825,1.96,7.8972,1.466,22.82673436750369
2010-06-01,92.1,92.69972451790633,4.3,490.107839,6.5339,41311373351.9,69354408245,2,7.9062,1.326,22.82673436750369
2010-07-01,91.6,92.83746556473831,3.7,510.18704400000007,6.5258,39592642025.200005,66620782814,2,8.0201,1.186,22.82673436750369
2010-08-01,91.4,93.1129476584022,3.8,487.085712,6.5258,37624817263.6,59598827277.5,2,7.9325,1.5719999999999998,22.82673436750369
2010-09-01,92,92.83746556473831,4,510.741781,6.2051,42680359382.1,68077393120,2,7.9156,1.9579999999999997,22.82673436750369
2010-10-01,92.1,92.83746556473831,3.8,487.051125,5.8575,40058774745,65104706700,2,8.111,2.344,22.82673436750369
2010-11-01,92.3,96.14325068870524,3.6,502.554672,5.8491,39715663907.7,67499198910,2,8.1463,2.538,22.82673436750369
2010-12-01,93.3,100.55096418732784,4.3,582.2956,6.1456,40132611680,74534205536,2,7.906,2.732,22.82673436750369
2011-01-01,92.7,103.03030303030303,3.2,620.767056,6.1456,44225529911.2,75716165756,2,7.8199,2.926,22.812085850556453
2011-02-01,93.1,104.26997245179064,3.3,640.6475399999999,5.7303,41758770468.6,73123498755,2,7.8206,2.198,22.812085850556453
2011-03-01,93.4,106.8870523415978,3.6,654.6692879999999,5.5783,49412436364.2,72343801257,2,7.8295,1.4700000000000002,22.812085850556453
2011-04-01,93.9,109.366391184573,3.6,694.887622,5.5198,41262033984.6,84346407860,2,7.8069,0.742,22.812085850556453
2011-05-01,93.7,107.02479338842976,3.5,644.3262540000001,5.5198,42064886033.799995,69335875203,2.14,7.8336,1.19,22.812085850556453
2011-06-01,93.4,106.06060606060608,3.7,603.5451840000001,5.3658,37954385330.4,68519978208,2.25,7.832,1.638,22.812085850556453
2011-07-01,93.1,107.71349862258954,3.4,627.699306,5.3769,40611080472,76813102944,2.25,7.7829,2.086,22.812085850556453
2011-08-01,92.6,105.09641873278237,3.8,612.9659350000001,5.3371,40264235213.600006,73046592747,2.25,7.7882,2.0316666666666667,22.812085850556453
2011-09-01,93.4,106.8870523415978,3.5,552.828248,5.3798,38972847481.4,74644725000,2.25,7.7243,1.9773333333333334,22.72991763028682
2011-10-01,93.3,107.02479338842976,3.8,589.410888,5.3798,45045039089.9,72264866684,2.25,7.7474,1.923,22.72991763028682
2011-11-01,93.3,108.53994490358127,3.6,629.201412,5.6931,41404043270.1,76265678496,2.25,7.7868,1.793,22.72991763028682
2011-12-01,93.4,108.67768595041325,3.6,619.432268,5.7686,40965309098,76875997818,1.99,7.7451,1.663,22.72991763028682
2012-01-01,93.2,111.15702479338844,3.8,640.1992280000001,5.7686,42210103814.9,80802690304,1.75,7.6752,1.533,21.465863867842355
2012-02-01,94.2,112.25895316804409,3.6,712.59327,5.8095,43314133149,86511472110,1.75,7.5522,1.409,21.465863867842355
2012-03-01,94.1,113.91184573002755,2.7,685.154304,5.5758,38257565512.2,80479535976,1.61,7.5315,1.285,21.465863867842355
2012-04-01,94.2,112.12121212121214,3.4,666.1408260000001,5.5758,42029437937.9,79552651699,1.5,7.5698,1.161,21.465863867842355
2012-05-01,94.2,109.64187327823691,3.5,565.553394,5.5758,41382668646,81033458220,1.5,7.5663,1.5010000000000001,21.465863867842355
2012-06-01,93.7,105.92286501377413,3.3,601.678148,6.1471,44487570824.4,78067493819,1.5,7.5401,1.841,21.436575291490907
2012-07-01,93.3,107.16253443526172,3.4,638.31486400000006,6.1471,43686538419.6,74770188784,1.5,7.4579,2.181,21.435777006076822
2012-08-01,92.9,109.64187327823691,3.4,684.8702499999999,6.005,42269182990,77927365400,1.5,7.3239,2.0156666666666667,21.435777006076822
2012-09-01,93.9,108.40220385674932,3.3,670.0378999999999,6.005,43959096558.3,72164568553,1.5,7.3945,1.8503333333333334,21.435777006076822
2012-10-01,94.3,108.81542699724518,3.8,616.275776,5.7296,44280531777.6,75582247584,1.5,7.4076,1.685,21.435777006076822
2012-11-01,94.4,108.53994490358127,3.6,626.275125,5.6805,41132932218,71979717285,1.5,7.3371,1.4916666666666667,21.435777006076822
2012-12-01,94.7,108.40220385674932,3.8,624.230145,5.6805,41549444240,74575105600,1.5,7.3489,1.2983333333333333,21.434978918650746
