date,actual,predicted_raw,shap_base,pred_reconstructed,reconstruction_error,regime,AR (inflation),PPI / cost-push,Monetary policy,FX,Oil,Trade,Labour market,signed_sum_excl_base,pred_from_groups
2020-01-01,0.8122743682310585,1.7577438354492188,2.1430511474609375,1.757743775844574,-5.960464477539063e-08,COVID (2020–2021),-0.5184818506240845,0.15877532958984375,-0.10992495715618134,-0.2969316942617297,0.4338299632072449,-0.017829755321145058,-0.03474441170692444,-0.3853073762729764,1.757743771187961
2020-02-01,1.2669683257918507,1.3863847255706787,2.117851972579956,1.386384665966034,-5.960464477539063e-08,COVID (2020–2021),-0.18557940423488617,0.10653498768806458,-0.18647801876068115,-0.516657143831253,-0.19871407747268677,0.2894596694968641,-0.04003334790468216,-0.7314673350192606,1.3863846375606954
2020-03-01,1.3562386980108476,0.846286416053772,2.114760637283325,0.8462860584259033,-3.5762786865234375e-07,COVID (2020–2021),-0.7255476713180542,0.13476300239562988,-0.20380043983459473,-0.39983634650707245,-0.08229508996009827,0.056772178038954735,-0.04853026196360588,-1.268474629148841,0.8462860081344843
2020-04-01,1.3464991023339312,1.656808614730835,2.1083269119262695,1.656809389591217,7.748603820800781e-07,COVID (2020–2021),-0.513144850730896,0.029636437073349953,0.06886617839336395,-0.1504594050347805,-0.008096924051642418,0.14108394645154476,-0.019402939826250076,-0.4515175577253103,1.6568093542009592
2020-05-01,1.7179023508137492,1.7904525995254517,2.099236249923706,1.7904505133628845,-2.086162567138672e-06,COVID (2020–2021),-0.5128239393234253,0.023896440863609314,0.2043101042509079,-0.14030967466533184,0.0017867309506982565,0.13612296897917986,-0.021768435835838318,-0.3087858047802001,1.790450445143506
2020-06-01,1.6201620162016317,1.9000672101974487,2.0949795246124268,1.9000670611858368,-1.4901161193847656e-07,COVID (2020–2021),-0.48732835054397583,0.021364325657486916,0.19007983803749084,-0.12957573495805264,0.005470735020935535,0.119593252427876,0.08548345416784286,-0.1949124801903963,1.9000670444220304
2020-07-01,1.7070979335130243,1.8348395824432373,2.0675551891326904,1.8348397314548492,1.4901161193847656e-07,COVID (2020–2021),-0.521343469619751,0.2777223587036133,0.26455429196357727,-0.4691486023366451,0.02348273992538452,0.13710541278123856,0.05491182953119278,-0.2327154390513897,1.8348397500813007
2020-08-01,0.7168458781362075,1.9532990455627441,2.061596393585205,1.953298568725586,-4.76837158203125e-07,COVID (2020–2021),-0.5904066562652588,0.27463364601135254,0.2845293879508972,-0.4466181546449661,0.026224851608276367,0.31090623140335083,0.032432883977890015,-0.10829780995845795,1.9532985836267471
2020-09-01,1.4375561545372895,1.587202787399292,2.045851230621338,1.5872025191783905,-2.682209014892578e-07,COVID (2020–2021),-0.2608407139778137,0.23247288167476654,0.1720217764377594,-0.6338742226362228,0.0768156498670578,-0.0245346836745739,-0.02070942521095276,-0.4586487375199795,1.5872024931013584
2020-10-01,2.515723270440251,2.1477229595184326,2.054168462753296,2.1477229446172714,-1.4901161193847656e-08,COVID (2020–2021),-0.41272902488708496,0.1091211810708046,0.17511920630931854,-0.18032024800777435,-0.004061546176671982,0.3562870118767023,0.05013790726661682,0.09355448745191097,2.147722950205207
2020-11-01,3.3273381294964155,1.392879605293274,2.0634374618530273,1.3928791880607605,-4.172325134277344e-07,COVID (2020–2021),-0.32518860697746277,0.028171133249998093,0.11301131546497345,-0.48558896221220493,-0.05870236083865166,-0.00969687383621931,0.06743613630533218,-0.6705582188442349,1.3928792430087924
2020-12-01,3.0575539568345356,1.7129316329956055,2.0756967067718506,1.712930679321289,-9.5367431640625e-07,COVID (2020–2021),-0.6803907155990601,0.03365889936685562,0.19351564347743988,-0.2759907469153404,-0.008652444928884506,0.2676527611911297,0.10744054615497589,-0.3627660572528839,1.7129306495189667
2021-01-01,2.9543419874664245,2.493093967437744,2.1022164821624756,2.493092864751816,-1.1026859283447266e-06,COVID (2020–2021),-0.4284520745277405,0.25506386160850525,0.2374253273010254,-0.18173149228096008,0.16145697236061096,0.30685560777783394,0.04025818407535553,0.3908763863146305,2.493092868477106
2021-02-01,2.680965147453085,2.076312780380249,2.134190320968628,2.076312243938446,-5.364418029785156e-07,COVID (2020–2021),0.21744151413440704,-0.06132248789072037,0.24804139137268066,-0.21437332592904568,-0.2059251070022583,-0.09724032320082188,0.05550026521086693,-0.057878073304891586,2.0763122476637363
2021-03-01,2.8545941123996554,2.6751604080200195,2.1513211727142334,2.675160050392151,-3.5762786865234375e-07,COVID (2020–2021),0.5748080015182495,-0.05995149165391922,0.1810978353023529,-0.15247811377048492,-0.059250157326459885,-0.07753965817391872,0.11715246737003326,0.5238388832658529,2.6751600559800863
2021-04-01,3.011514614703259,2.660266399383545,2.1510636806488037,2.6602672338485718,8.344650268554688e-07,COVID (2020–2021),0.5384053587913513,0.025675978511571884,0.19198346138000488,-0.11657831817865372,0.12179726362228394,-0.16118483617901802,-0.09089535474777222,0.5092035531997681,2.6602672338485718
2021-05-01,3.3777777777777684,2.6228835582733154,2.169158697128296,2.622883230447769,-3.2782554626464844e-07,COVID (2020–2021),0.2350156605243683,0.013344072736799717,0.19165635108947754,-0.045656122267246246,0.11648727208375931,-0.14578895270824432,0.08866623789072037,0.45372451934963465,2.6228832164779305
2021-06-01,4.074402125775012,2.8953731060028076,2.1891608238220215,2.8953737616539,6.556510925292969e-07,Energy Crisis,0.27728554606437683,0.031729474663734436,0.22791820764541626,-0.04326430708169937,0.1569029539823532,-0.08969231694936752,0.14533337950706482,0.7062129378318787,2.8953737616539
2021-07-01,3.5335689045936425,3.2159159183502197,2.194976329803467,3.215914487838745,-1.430511474609375e-06,Energy Crisis,0.48467278480529785,0.03784560784697533,0.17825132608413696,0.26554370671510696,0.2602556645870209,-0.08129176869988441,-0.12433919310569763,1.020938128232956,3.2159144580364227
2021-08-01,5.071174377224197,3.3954057693481445,2.218367338180542,3.3954062461853027,4.76837158203125e-07,Energy Crisis,0.6439332962036133,0.04888542741537094,0.22018834948539734,-0.10775355249643326,0.2037849724292755,-0.07512179343029857,0.2431221604347229,1.1770388600416481,3.39540619822219
2021-09-01,5.31443755535872,3.509284734725952,2.272420644760132,3.5092841386795044,-5.960464477539062e-07,Energy Crisis,0.5837780237197876,0.3128372132778168,0.10955750197172165,0.13972440361976624,0.2855793535709381,-0.04636375419795513,-0.1482492983341217,1.2368634436279535,3.5092840883880854
2021-10-01,3.242769500438225,4.149634838104248,2.3018083572387695,4.14963698387146,2.1457672119140625e-06,Energy Crisis,0.9325790405273438,0.2992498278617859,0.20280207693576813,0.013298366218805313,0.17003785073757172,0.20430953800678253,0.02555187977850437,1.8478285800665617,4.149636937305331
2021-11-01,3.6553524804177506,3.6637122631073,2.3138821125030518,3.6637121438980103,-1.1920928955078125e-07,Energy Crisis,0.7115480303764343,0.3466033637523651,0.11592218279838562,-0.06993918865919113,0.17358863353729248,0.08997105062007904,-0.017864001914858818,1.3498300705105066,3.6637121830135584
2021-12-01,4.537521815008727,3.6104209423065186,2.331589460372925,3.61042058467865,-3.5762786865234375e-07,Energy Crisis,0.5887557864189148,0.4517339766025543,0.13006973266601562,-0.0278982101008296,0.0075676413252949715,0.13580607785843313,-0.007203876972198486,1.2788311277981848,3.6104205881711096
2022-01-01,5.391304347826087,3.7498795986175537,2.355199098587036,3.749880075454712,4.76837158203125e-07,Energy Crisis,0.7265557050704956,0.361105740070343,0.15695711970329285,-0.1770559847354889,0.10700330883264542,0.23548733070492744,-0.015372272580862045,1.3946809470653534,3.7498800456523895
2022-02-01,5.7441253263707415,4.5224127769470215,2.3973939418792725,4.522414445877075,1.6689300537109375e-06,Energy Crisis,0.7526705861091614,0.6251100301742554,0.1806492805480957,-0.05688321590423584,0.16904418170452118,0.4093398302793503,0.04508982226252556,2.1250205151736736,4.522414457052946
2022-03-01,6.3313096270598335,4.6513447761535645,2.4530727863311768,4.651344537734985,-2.384185791015625e-07,Energy Crisis,0.49929800629615784,0.736286461353302,0.09945107251405716,-0.015987546183168888,0.1857510358095169,0.7351988404989243,-0.041726186871528625,2.1982716834172606,4.651344469748437
2022-04-01,6.792777300085984,4.573535442352295,2.4750847816467285,4.573534250259399,-1.1920928955078125e-06,Energy Crisis,0.6653046607971191,0.7182850241661072,0.16751313209533691,-0.08663792163133621,0.14762897789478302,0.32287630438804626,0.1634792685508728,2.098449446260929,4.573534227907658
2022-05-01,6.53482373172829,5.197669506072998,2.5141310691833496,5.197669267654419,-2.384185791015625e-07,Energy Crisis,0.5421966314315796,1.053336262702942,0.11667898297309875,-0.005187578499317169,0.3028826415538788,0.4358127787709236,0.23781852424144745,2.683538243174553,5.1976693123579025
2022-06-01,6.893617021276599,5.38179349899292,2.5679287910461426,5.38179612159729,2.6226043701171875e-06,Energy Crisis,0.9102861881256104,0.924199640750885,0.15576313436031342,0.2296689674258232,0.2139134258031845,0.4447382129728794,-0.06470221281051636,2.8138673566281796,5.381796147674322
2022-07-01,7.508532423208192,5.0376410484313965,2.5740044116973877,5.03764009475708,-9.5367431640625e-07,Energy Crisis,0.3577219545841217,0.6590743064880371,0.07243091613054276,0.21703405445441604,0.07406487315893173,1.081152572762221,0.0021570397075265646,2.463635717285797,5.037640128983185
2022-08-01,6.519898391193912,5.253966808319092,2.6318984031677246,5.253966569900513,-2.384185791015625e-07,Energy Crisis,0.2749052345752716,0.8254671096801758,0.033385876566171646,0.24788936134427786,0.0889229103922844,1.1527953706681728,-0.001297543291002512,2.6220683199353516,5.253966723103076
2022-09-01,5.887300252312877,5.317272186279297,2.678940773010254,5.317271709442139,-4.76837158203125e-07,Energy Crisis,0.258712500333786,0.8772151470184326,0.03972802311182022,0.2346898594405502,0.05278763920068741,1.1798268556594849,-0.004628934431821108,2.63833109033294,5.317271863343194
2022-10-01,7.045840407470294,5.599963665008545,3.0172173976898193,5.599964380264282,7.152557373046875e-07,Energy Crisis,1.048156499862671,1.7398217916488647,-0.18703357875347137,-0.2546850051730871,-0.10429953783750534,0.39623725414276123,-0.05545031651854515,2.582747107371688,5.599964505061507
2022-11-01,6.297229219143574,3.722203493118286,3.124262809753418,3.7222043871879578,8.940696716308594e-07,Energy Crisis,1.2913817167282104,-0.48755791783332825,-0.23741085827350616,-0.04111650586128235,-0.1759355664253235,-0.06060199439525604,0.30918264389038086,0.597941517829895,3.722204327583313
2022-12-01,6.510851419031716,5.768204689025879,3.1762983798980713,5.7682044506073,-2.384185791015625e-07,Energy Crisis,1.354900598526001,0.696148693561554,-0.18939822912216187,0.21274743601679802,0.03427431732416153,0.2777261324226856,0.2055073231458664,2.5919062718749046,5.768204651772976
2023-01-01,6.435643564356441,4.404550552368164,3.039405584335327,4.4045490026474,-1.5497207641601562e-06,Disinflation,1.837083339691162,-0.4799187481403351,-0.15442338585853577,0.3047383055090904,-0.08143097162246704,0.02617630362510681,-0.08708145469427109,1.3651433885097504,4.4045489728450775
2023-02-01,6.666666666666665,4.4807209968566895,3.0716729164123535,4.480720520019531,-4.76837158203125e-07,Disinflation,1.9715696573257446,-0.5330783128738403,-0.15029577910900116,0.3922366201877594,-0.10798996686935425,-0.1003064326941967,-0.06308823823928833,1.4090475477278233,4.480720464140177
2023-03-01,6.362153344208821,5.792266368865967,3.1468048095703125,5.792265176773071,-1.1920928955078125e-06,Disinflation,2.3396427631378174,-0.4402388632297516,0.08996998518705368,0.6079357787966728,-0.04035982862114906,0.1401270031929016,-0.05161629617214203,2.645460542291403,5.792265351861715
2023-04-01,5.394524959742353,5.942447662353516,3.165839195251465,5.942450523376465,2.86102294921875e-06,Disinflation,2.3777339458465576,-0.3332468569278717,0.13715103268623352,0.6924284994602203,-0.05312828719615936,-0.046683453023433685,0.0023565595038235188,2.7766114403493702,5.942450635600835
