Date,kpi,ppi,unemployment,oil_price_nok,usd_nok,import,eksport,rente,eur_nok,boligindex,oljepris_USD,import_USD,eksport_USD
1920-03-01,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920-04-01,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920-05-01,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920-06-01,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920-07-01,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920-08-01,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920-09-01,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920-10-01,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920-11-01,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920-12-01,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921-01-01,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921-02-01,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921-03-01,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921-04-01,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921-05-01,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921-06-01,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921-07-01,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921-08-01,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921-09-01,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921-10-01,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921-11-01,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921-12-01,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922-01-01,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922-02-01,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922-03-01,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922-04-01,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922-05-01,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922-06-01,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922-07-01,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922-08-01,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922-09-01,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922-10-01,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922-11-01,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922-12-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923-01-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923-02-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923-03-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923-04-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923-05-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923-06-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923-07-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923-08-01,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923-09-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923-10-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923-11-01,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923-12-01,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924-01-01,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924-02-01,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924-03-01,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924-04-01,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924-05-01,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924-06-01,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924-07-01,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924-08-01,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924-09-01,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924-10-01,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924-11-01,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924-12-01,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925-01-01,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925-02-01,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925-03-01,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925-04-01,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925-05-01,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925-06-01,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925-07-01,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925-08-01,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925-09-01,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925-10-01,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925-11-01,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925-12-01,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926-01-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926-02-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926-03-01,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926-04-01,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
