date,actual,predicted_raw,shap_base,pred_reconstructed,reconstruction_error,regime,AR (inflation),PPI / cost-push,Monetary policy,FX,Oil,Trade,Labour market,signed_sum_excl_base,pred_from_groups
2020-01-01,0.8122743682310585,1.3785886764526367,2.132582187652588,1.3785890340805054,3.5762786865234375e-07,COVID (2020–2021),-0.5592109560966492,0.060837000608444214,-0.08601687103509903,-0.14863403141498566,0.030591048300266266,-0.04080287739634514,-0.010756437666714191,-0.7539931247010827,1.3785890629515052
2020-02-01,1.2669683257918507,1.5023188591003418,2.1196680068969727,1.5023188591003418,0.0,COVID (2020–2021),-0.28300613164901733,0.061494581401348114,-0.1070559024810791,-0.1994183100759983,-0.12611868977546692,0.04663887619972229,-0.009883549995720387,-0.6173491263762116,1.502318880520761
2020-03-01,1.3562386980108476,1.3503905534744263,2.1098344326019287,1.3503903150558472,-2.384185791015625e-07,COVID (2020–2021),-0.5716295838356018,0.059686604887247086,-0.11060616374015808,-0.17107830941677094,0.023539645597338676,0.020371470600366592,-0.009727776050567627,-0.7594441119581461,1.3503903206437826
2020-04-01,1.3464991023339312,1.602840542793274,2.1154918670654297,1.6028408408164978,2.980232238769531e-07,COVID (2020–2021),-0.6036715507507324,0.0723491832613945,0.04923195391893387,-0.20516826584935188,0.06515416502952576,0.13308303896337748,-0.023629583418369293,-0.512651058845222,1.6028408082202077
2020-05-01,1.7179023508137492,1.789827823638916,2.1055614948272705,1.7898278534412384,2.9802322387695312e-08,COVID (2020–2021),-0.593722403049469,0.08048972487449646,0.22705724835395813,-0.18724382296204567,0.04526016488671303,0.13723510084673762,-0.024809636175632477,-0.3157336232252419,1.7898278716020286
2020-06-01,1.6201620162016317,1.9465769529342651,2.1007163524627686,1.946576178073883,-7.748603820800781e-07,COVID (2020–2021),-0.5665575861930847,0.07664073258638382,0.20187261700630188,-0.17636707797646523,0.04098900780081749,0.14638312510214746,0.12289900332689285,-0.15414017834700644,1.9465761741157621
2020-07-01,1.7070979335130243,1.756224274635315,2.05598783493042,1.756223887205124,-3.8743019104003906e-07,COVID (2020–2021),-0.6162930130958557,0.16927315294742584,0.2897498309612274,-0.3504208028316498,0.08223239332437515,0.12279848009347916,0.002896042075008154,-0.29976391652598977,1.7562239184044302
2020-08-01,0.7168458781362075,1.9492746591567993,2.0587880611419678,1.9492746740579605,1.4901161193847656e-08,COVID (2020–2021),-0.6598966121673584,0.17225363850593567,0.180166557431221,-0.2916198670864105,0.21278029680252075,0.21614044532179832,0.06066211313009262,-0.10951342806220055,1.9492746330797672
2020-09-01,1.4375561545372895,1.5652037858963013,2.0190563201904297,1.5652042925357819,5.066394805908203e-07,COVID (2020–2021),-0.181548610329628,0.22193452715873718,0.12779781222343445,-0.6140974909067154,0.02386525273323059,0.003494882956147194,-0.035298366099596024,-0.45385199226439,1.5652043279260397
2020-10-01,2.515723270440251,1.5706998109817505,2.066124439239502,1.5707001686096191,3.5762786865234375e-07,COVID (2020–2021),-0.4114246368408203,0.07407568395137787,0.12238799780607224,-0.24175335839390755,-0.06486786901950836,-0.015033653704449534,0.04119153320789337,-0.4954243029933423,1.5707001362461597
